item_id,model,aurc,ecl_at_tau,elicit_at_k,leakage_hit_rate
s2-001,mock-frontier,0.157604,6,True,0.25
s2-002,mock-frontier,0.174356,5,True,0.25
s2-003,mock-frontier,0.139818,5,True,0.25
s2-004,mock-frontier,0.15632,6,True,0.25
s2-005,mock-frontier,0.169986,5,True,0.25
s2-006,mock-frontier,0.138489,5,True,0.25
s2-007,mock-frontier,0.157189,6,True,0.25
s2-008,mock-frontier,0.175969,5,True,0.25
s2-009,mock-frontier,0.137672,5,True,0.25
s2-010,mock-frontier,0.156708,6,True,0.25
s2-011,mock-frontier,0.168099,5,True,0.25
s2-012,mock-frontier,0.139818,5,True,0.25
s2-013,mock-frontier,0.156028,6,True,0.25
s2-014,mock-frontier,0.175969,5,True,0.25
s2-015,mock-frontier,0.140018,5,True,0.25
s2-016,mock-frontier,0.158165,6,True,0.25
s2-017,mock-frontier,0.16911,5,True,0.25
s2-018,mock-frontier,0.138683,5,True,0.25
s2-019,mock-frontier,0.156195,6,True,0.25
s2-020,mock-frontier,0.167819,5,True,0.25
s2-021,mock-frontier,0.138489,5,True,0.25
s2-022,mock-frontier,0.157273,6,True,0.25
s2-023,mock-frontier,0.166131,5,True,0.25
s2-024,mock-frontier,0.138683,5,True,0.25
s2-025,mock-frontier,0.157189,6,True,0.25
s2-026,mock-frontier,0.174356,5,True,0.25
s2-027,mock-frontier,0.138044,5,True,0.25
s2-028,mock-frontier,0.15693,6,True,0.25
s2-029,mock-frontier,0.168958,5,True,0.25
s2-030,mock-frontier,0.138044,5,True,0.25
s2-001,mock-mid,0.255582,34,False,0.25
s2-002,mock-mid,0.332495,46,False,0.25
s2-003,mock-mid,0.246834,35,False,0.25
s2-004,mock-mid,0.258824,34,False,0.25
s2-005,mock-mid,0.333933,46,False,0.25
s2-006,mock-mid,0.245254,35,False,0.25
s2-007,mock-mid,0.255577,34,False,0.25
s2-008,mock-mid,0.333592,46,False,0.25
s2-009,mock-mid,0.244556,35,False,0.25
s2-010,mock-mid,0.255064,34,False,0.25
s2-011,mock-mid,0.33367,46,False,0.25
s2-012,mock-mid,0.244681,35,False,0.25
s2-013,mock-mid,0.253826,34,False,0.25
s2-014,mock-mid,0.335142,46,False,0.25
s2-015,mock-mid,0.246401,35,False,0.25
s2-016,mock-mid,0.258395,34,False,0.25
s2-017,mock-mid,0.334176,46,False,0.25
s2-018,mock-mid,0.246475,35,False,0.25
s2-019,mock-mid,0.254443,34,False,0.25
s2-020,mock-mid,0.329227,46,False,0.25
s2-021,mock-mid,0.244235,35,False,0.25
s2-022,mock-mid,0.256315,34,False,0.25
s2-023,mock-mid,0.331106,46,False,0.25
s2-024,mock-mid,0.244553,35,False,0.25
s2-025,mock-mid,0.255577,34,False,0.25
s2-026,mock-mid,0.339032,46,False,0.25
s2-027,mock-mid,0.246327,35,False,0.25
s2-028,mock-mid,0.259009,34,False,0.25
s2-029,mock-mid,0.332391,46,False,0.25
s2-030,mock-mid,0.245694,35,False,0.25
s2-001,mock-small,0.403467,34,False,0.25
s2-002,mock-small,0.554746,46,False,0.25
s2-003,mock-small,0.409068,35,False,0.25
s2-004,mock-small,0.405256,34,False,0.25
s2-005,mock-small,0.553129,46,False,0.25
s2-006,mock-small,0.407058,35,False,0.25
s2-007,mock-small,0.407995,34,False,0.25
s2-008,mock-small,0.551938,46,False,0.25
s2-009,mock-small,0.409012,35,False,0.25
s2-010,mock-small,0.405911,34,False,0.25
s2-011,mock-small,0.552073,46,False,0.25
s2-012,mock-small,0.410588,35,False,0.25
s2-013,mock-small,0.403757,34,False,0.25
s2-014,mock-small,0.558398,46,False,0.25
s2-015,mock-small,0.409096,35,False,0.25
s2-016,mock-small,0.404383,37,False,0.25
s2-017,mock-small,0.551062,46,False,0.25
s2-018,mock-small,0.406306,35,False,0.25
s2-019,mock-small,0.40388,34,False,0.25
s2-020,mock-small,0.548209,46,False,0.25
s2-021,mock-small,0.409096,35,False,0.25
s2-022,mock-small,0.407988,34,False,0.25
s2-023,mock-small,0.551073,46,False,0.25
s2-024,mock-small,0.405537,35,False,0.25
s2-025,mock-small,0.402579,34,False,0.25
s2-026,mock-small,0.554746,46,False,0.25
s2-027,mock-small,0.408815,35,False,0.25
s2-028,mock-small,0.403763,34,False,0.25
s2-029,mock-small,0.549531,46,False,0.25
s2-030,mock-small,0.408815,35,False,0.25
